design,total_capacity_Nm,slack_max,c0,c1,c2,c3,c4,c5,c6,c7
축 정렬 8개 (관절마다 굴근·신근),531.9,0.000,70.3,30.6,42.4,22.0,83.2,66.0,98.8,118.7
NMF 8개 (subject3 합침),513.4,0.000,28.3,37.5,72.8,115.1,7.7,108.6,81.3,62.2
최적화 8개,394.5,0.000,77.0,34.3,62.6,57.3,42.1,32.7,39.3,49.2
design on walking,387.1,
design on squats,280.8,
design on STS,301.8,
