subject3_walking1_k0,0,True,0.8,363.7895,0.3,0.1,0.3,0.1,0.2,0.2,0.3,0.1,0.2
subject3_walking1_k5,5,False,1.1,2343.6834,146.0,39.4,37.7,50.8,40.2,146.0,143.8,30.7,31.3
subject3_walking1_k8,8,False,1.1,585.9931,40.1,15.5,14.6,15.4,16.1,40.1,35.1,8.8,9.5
subject3_walking1_k8_nocap,8,False,2.6,1659.1627,130.0,55.1,29.4,37.1,34.8,130.0,90.9,31.6,26.8
subject3_walking1_k8_nocap_u3,8,False,3.7,636.3116,59.2,15.5,9.3,15.2,16.1,59.2,36.4,9.9,14.3
subject3_walking1_k30_nocap,30,False,3.8,935.7019,78.5,35.0,23.1,29.3,34.4,78.5,34.6,14.3,10.3
subject3_walking1_k8_allmus,8,True,1.1,387.3339,24.2,11.3,4.3,10.3,3.4,24.2,19.4,6.4,5.9
subject3_walking1_k8_fix,8,True,1.7,379.5084,21.8,10.5,3.8,6.8,3.4,21.8,14.0,6.3,4.3
subject3_walking1_k5_fix,5,True,2.0,568.1762,85.0,17.4,28.5,32.6,9.8,85.0,59.0,13.7,18.6
