newmus_subject3_walking1_k8_design_scaled_rw100,8,True,0.0,37649.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walking2_k8_design_scaled_rw100,8,True,0.1,42969.643,0.5,0.0,0.5,0.0,0.2,0.0,0.3,0.0,0.1
newmus_subject3_walking3_k8_design_scaled_rw100,8,True,0.0,39080.779,0.5,0.0,0.5,0.0,0.5,0.0,0.3,0.0,0.0
newmus_subject3_walkingTS2_k8_design_scaled_rw100,8,True,0.1,82315.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walkingTS3_k8_design_scaled_rw100,8,True,0.1,55442.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walkingTS4_k8_design_scaled_rw100,8,True,0.0,51168.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject4_walking1_k8_design_scaled_rw100,8,True,0.0,35443.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject5_walking1_k8_design_scaled_rw100,8,False,0.7,765523.724,229.0,113.1,144.5,48.8,36.0,177.1,229.0,27.9,14.3
newmus_subject7_walking1_k8_design_scaled_rw100,8,True,0.0,41296.894,2.2,0.9,0.0,0.3,0.0,2.2,0.0,0.1,0.0
newmus_subject8_walking1_k8_design_scaled_rw100,8,True,0.0,43084.676,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0
newmus_subject10_walking1_k8_design_scaled_rw100,8,True,0.1,121309.817,112.9,0.0,112.9,0.0,42.8,0.0,26.6,0.0,11.8
newmus_subject11_walking2_k8_design_scaled_rw100,8,False,0.3,516955.816,111.1,1.7,111.1,0.4,46.0,3.9,40.2,0.1,10.0
newmus_subject5_walking1_k8_design_scaled_u12_rw100,8,False,0.3,739606.900,214.4,91.7,121.4,39.1,26.3,163.0,214.4,24.6,11.5
newmus_subject10_walking1_k8_design_scaled_u12_rw100,8,True,0.1,120579.487,89.1,0.0,89.1,0.0,34.0,0.0,21.0,0.0,9.3
newmus_subject11_walking2_k8_design_scaled_u12_rw100,8,False,0.6,503554.566,90.8,0.0,90.8,0.0,40.3,0.0,29.2,0.0,8.5
newmus_subject10_walking1_k8_design_scaled_edge_rw100,8,True,0.0,121309.817,112.9,0.0,112.9,0.0,42.8,0.0,26.6,0.0,11.8
newmus_subject5_walking1_k8_design_scaled_edge_rw100,8,False,0.7,765523.724,229.0,5.4,144.5,2.0,36.0,24.4,229.0,0.6,14.3
newmus_subject11_walking2_k8_design_scaled_edge_rw100,8,False,0.2,516955.816,3.9,1.7,0.0,0.4,0.0,3.9,0.0,0.1,0.0
newmus_subject10_walking1_k8_design_m01,8,True,0.1,117250.339,132.3,0.0,132.3,0.0,42.1,0.0,32.3,0.0,12.7
newmus_subject10_walking1_k8_design_pf,8,True,0.1,136360.795,172.7,0.0,172.7,0.0,39.8,0.0,45.9,0.0,12.5
